L1_orth,L1_L1wiktionary,L1_enwiktionary,L1_ipa,L1_en,L1_disambiguated,L1_suffix,L1_pos,L1_year,L1_macro_family,L1_family,L1_language,L1_region,L1_type,L1_loan,L1_certainty,L1_closest_wold_concept,L1_borrowability,L1_closest_wold_concept_similarity
abesszin,https://hu.wiktionary.org/wiki/abesszin#Magyar,https://en.wiktionary.org/wiki/abesszin#Hungarian,ɒbɛsːin,Abyssinian,0,-,n,1573,IE,Romance,Latin,no_info,general,+,uncertain,(),0,-1
ablak,https://hu.wiktionary.org/wiki/ablak#Magyar,https://en.wiktionary.org/wiki/ablak#Hungarian,ɒblɒk,window,0,-,n,1372,IE,Slavic,Slovenian,no_info,no_info,+,uncertain,"('window', 'window')",0.568014706,0.99999994
abrak,https://hu.wiktionary.org/wiki/abrak#Magyar,https://en.wiktionary.org/wiki/abrak#Hungarian,ɒbrɒk,"feed, fodder, forage",0,-,n,1494,no_info,no_info,no_info,no_info,no_info,-,certain,"('feed', 'eat')",0.080188679,0.748102129
abrakadabra,https://hu.wiktionary.org/wiki/abrakadabra#Magyar,https://en.wiktionary.org/wiki/abrakadabra#Hungarian,ɒbrɒkɒdɒbrɒ,abracadabra,0,-,n,1788,no_info,no_info,no_info,no_info,internationalism,+,certain,"('abracadabra', 'shriek')",0.184397163,0.479744405
ábrándozik,https://hu.wiktionary.org/wiki/ábrándozik#Magyar,https://en.wiktionary.org/wiki/ábrándozik#Hungarian,aːbraːndozik,"dream, dreamt, dream, moon, moon_about, romance, star-gaze",0,-,v,1794,no_info,no_info,no_info,no_info,derivative,-,certain,"('dream', 'dream')",0.086206897,1
ábrázol,https://hu.wiktionary.org/wiki/ábrázol#Magyar,https://en.wiktionary.org/wiki/ábrázol#Hungarian,aːbraːzol,"delineate, depict, illustrate, limn, picture, plot, portray, represent, typify, write_down",0,-,v,1513,no_info,no_info,no_info,no_info,derivative,-,certain,"('plot', 'plot')",0.329365079,1
abroncs,https://hu.wiktionary.org/wiki/abroncs#Magyar,https://en.wiktionary.org/wiki/abroncs#Hungarian,ɒbront͡ʃ,"band, hoop, retainer_ring, retaining_ring",0,-,n,1499,no_info,no_info,no_info,no_info,no_info,-,certain,"('band', 'rock')",0.105,0.860520899
abrosz,https://hu.wiktionary.org/wiki/abrosz#Magyar,https://en.wiktionary.org/wiki/abrosz#Hungarian,ɒbros,tablecloth,0,-,n,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('tablecloth', 'linen')",0.655555556,0.755786836
abszint,https://hu.wiktionary.org/wiki/abszint#Magyar,https://en.wiktionary.org/wiki/abszint#Hungarian,ɒbsint,absinthe,0,-,n,1870,no_info,no_info,no_info,no_info,internationalism,+,certain,"('absinthe', 'tinplate')",0.579166667,0.48941496
abszolút,https://hu.wiktionary.org/wiki/abszolút#Magyar,https://en.wiktionary.org/wiki/abszolút#Hungarian,ɒbsoluːt,"absolute, sheer, total, unmitigated, utter",0,-,a,1579,IE,Romance,Latin,no_info,general,+,certain,"('utter', 'shame')",0.116666667,0.783445239
absztrakt,https://hu.wiktionary.org/wiki/absztrakt#Magyar,https://en.wiktionary.org/wiki/absztrakt#Hungarian,ɒbstrɒkt,abstract,0,-,a,1835,no_info,no_info,no_info,no_info,internationalism,+,certain,"('abstract', 'color')",0.595541401,0.621616364
abszurd,https://hu.wiktionary.org/wiki/abszurd#Magyar,https://en.wiktionary.org/wiki/abszurd#Hungarian,ɒbsurd,"absurd, camp, cockeyed, fantastic, nonsensical, preposterous",0,-,a,1761,IE,Romance,Latin,no_info,general,+,certain,"('camp', 'camp')",0.366666667,1
acél,https://hu.wiktionary.org/wiki/acél#Magyar,https://en.wiktionary.org/wiki/acél#Hungarian,ɒt͡seːl,steel,0,-,n,1395,no_info,no_info,no_info,no_info,no_info,-,certain,"('steel', 'iron')",0.272727273,0.840107858
achát,https://hu.wiktionary.org/wiki/achát#Magyar,https://en.wiktionary.org/wiki/achát#Hungarian,ɒt͡shaːt,agate,0,-,r,1604,no_info,no_info,no_info,no_info,internationalism, Wanderwort,"+,","('agate', 'hammock')",0.403846154,0.453932792
ács,https://hu.wiktionary.org/wiki/ács#Magyar,https://en.wiktionary.org/wiki/ács#Hungarian,aːt͡ʃ,"carpenter, joiner",0,-,n,1395,Turkic,no_info,no_info,no_info,general,+,certain,"('carpenter', 'carpenter')",0.506944444,0.99999994
acsarkodik,https://hu.wiktionary.org/wiki/acsarkodik#Magyar,https://en.wiktionary.org/wiki/acsarkodik#Hungarian,ɒt͡ʃɒrkodik,snarling,0,-,v,1645,no_info,no_info,no_info,no_info,derivative,-,certain,"('snarling', 'loud')",0.047368421,0.558289051
ácsi,https://hu.wiktionary.org/wiki/ácsi#Magyar,https://en.wiktionary.org/wiki/ácsi#Hungarian,aːt͡ʃi,Acs,0,-,a,1777,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
ácsingózik,https://hu.wiktionary.org/wiki/ácsingózik#Magyar,https://en.wiktionary.org/wiki/ácsingózik#Hungarian,aːt͡ʃinɡoːzik,ácsingózik,0,-,v,1833,no_info,no_info,no_info,no_info,derivative,-,certain,(),0,-1
ácsorog,https://hu.wiktionary.org/wiki/ácsorog#Magyar,https://en.wiktionary.org/wiki/ácsorog#Hungarian,aːt͡ʃoroɡ,"""cool_ones_heels"", loiter, loll_about, lounge, stand_about",0,-,v,1652,no_info,no_info,no_info,no_info,derivative,-,certain,"('lounge', 'room')",0.514808362,0.669378042
ad,https://hu.wiktionary.org/wiki/ad#Magyar,https://en.wiktionary.org/wiki/ad#Hungarian,ɒd,"accord, afford, allow, concede, contribute, extend, furnish, gift, give, gave, given, hand, inflict, lend, lent, provide, render, yield",0,-,v,1200,FU,no_info,no_info,no_info,no_info,-,certain,"('give', 'give')",0.08677686,1
ad,https://hu.wiktionary.org/wiki/ad#Magyar,https://en.wiktionary.org/wiki/ad#Hungarian,ɒd,-,0,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
adal,https://hu.wiktionary.org/wiki/adal#Magyar,https://en.wiktionary.org/wiki/adal#Hungarian,ɒdɒl,-,0,+,r,1372,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
ádámcsutka,https://hu.wiktionary.org/wiki/ádámcsutka#Magyar,https://en.wiktionary.org/wiki/ádámcsutka#Hungarian,aːdaːmt͡ʃutkɒ,"""Adams_apple""",0,-,r,1845,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
ádámkosztüm,https://hu.wiktionary.org/wiki/ádámkosztüm#Magyar,https://en.wiktionary.org/wiki/ádámkosztüm#Hungarian,aːdaːmkostym,"(humorous, idiomatic, of a man) birthday suit, nakedness",0,-,r,1886,IE,Germanic,German,no_info,calque,+,certain,"('nakedness', 'adornment')",0.31227758,0.627719343
ádáz,https://hu.wiktionary.org/wiki/ádáz#Magyar,https://en.wiktionary.org/wiki/ádáz#Hungarian,aːdaːz,"desperate, fierce, furious, grim",0,-,a,1604,unknown,unknown,unknown,unknown,unknown,+,certain,"('furious', 'anger')",0.216165414,0.770166457
adék,https://hu.wiktionary.org/wiki/adék#Magyar,https://en.wiktionary.org/wiki/adék#Hungarian,ɒdeːk,-,0,+,r,1416,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
adjunktus,https://hu.wiktionary.org/wiki/adjunktus#Magyar,https://en.wiktionary.org/wiki/adjunktus#Hungarian,ɒdjunktuʃ,"adjunct, assistant_professor, senior_lecturer",0,-,n,1699,IE,Romance,Latin,no_info,general,+,certain,"('adjunct', 'teacher')",0.512931034,0.616973996
adjusztál,https://hu.wiktionary.org/wiki/adjusztál#Magyar,https://en.wiktionary.org/wiki/adjusztál#Hungarian,ɒdjustaːl,get_up,0,-,n,1717,no_info,no_info,no_info,no_info,contempted origin,+,certain,(),0,-1
adjutáns,https://hu.wiktionary.org/wiki/adjutáns#Magyar,https://en.wiktionary.org/wiki/adjutáns#Hungarian,ɒdjutaːnʃ,adjutant,0,-,r,1651,no_info,no_info,no_info,no_info,internationalism,+,certain,"('adjutant', 'command')",0.421532847,0.592121542
adminisztrál,https://hu.wiktionary.org/wiki/adminisztrál#Magyar,https://en.wiktionary.org/wiki/adminisztrál#Hungarian,ɒdministraːl,administer,0,-,r,1571,IE,Romance,Latin,no_info,general,+,certain,"('administer', 'govern')",0.375565611,0.646462023
admirális,https://hu.wiktionary.org/wiki/admirális#Magyar,https://en.wiktionary.org/wiki/admirális#Hungarian,ɒdmiraːliʃ,admiral,0,-,n,1655,no_info,no_info,no_info,no_info,internationalism,+,certain,"('admiral', 'command')",0.421532847,0.674998283
adó,https://hu.wiktionary.org/wiki/adó#Magyar,https://en.wiktionary.org/wiki/adó#Hungarian,ɒdoː,"contribution, dues, duty, tax, transmitter, transmitting, tribute",0,-,r,1416,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('tax', 'tax')",0.590361446,1
adoma,https://hu.wiktionary.org/wiki/adoma#Magyar,https://en.wiktionary.org/wiki/adoma#Hungarian,ɒdomɒ,anecdote,0,-,n,1851,no_info,no_info,no_info,no_info,neologism,-,certain,"('anecdote', 'twist')",0.157894737,0.587427795
adoptál,https://hu.wiktionary.org/wiki/adoptál#Magyar,https://en.wiktionary.org/wiki/adoptál#Hungarian,ɒdoptaːl,affiliate,0,-,n,1785,IE,Romance,Latin,no_info,general,+,certain,"('affiliate', 'radio')",0.761904762,0.544932365
adresszál,https://hu.wiktionary.org/wiki/adresszál#Magyar,https://en.wiktionary.org/wiki/adresszál#Hungarian,ɒdrɛsːaːl,adresszál,0,-,n,1797,no_info,no_info,no_info,no_info,change of suffix,-,certain,(),0,-1
adu,https://hu.wiktionary.org/wiki/adu#Magyar,https://en.wiktionary.org/wiki/adu#Hungarian,ɒdu,trump,0,-,n,1799,IE,Germanic,German,Bavaria,no_info,+,certain,"('trump', 'buy')",0.152219873,0.428759217
advent,https://hu.wiktionary.org/wiki/advent#Magyar,https://en.wiktionary.org/wiki/advent#Hungarian,ɒdvɛnt,advent,0,-,n,1470,IE,Romance,Latin,no_info,general,+,certain,"('advent', 'calendar')",0.770833333,0.620400131
affektál,https://hu.wiktionary.org/wiki/affektál#Magyar,https://en.wiktionary.org/wiki/affektál#Hungarian,ɒfːɛktaːl,"attitudinize, give_oneself_airs, give_oneself_airs_and_graces, pose, prance_and_curvet, put_on_airs, put_on_airs_and_graces",0,-,v,1587,IE,Romance,Latin,no_info,general,+,certain,"('pose', 'danger')",0.358851675,0.824274421
affér,https://hu.wiktionary.org/wiki/affér#Magyar,https://en.wiktionary.org/wiki/affér#Hungarian,ɒfːeːr,affair,0,-,n,1835,no_info,no_info,no_info,no_info,no_info,-,certain,"('affair', 'divorce')",0.24872449,0.664991975
áfium,https://hu.wiktionary.org/wiki/áfium#Magyar,https://en.wiktionary.org/wiki/áfium#Hungarian,aːfium,(archaic) opium,0,-,n,1546,Turkic,Oghuz,Ottoman-Turkic,no_info,no_info,+,certain,(),0,-1
áfonya,https://hu.wiktionary.org/wiki/áfonya#Magyar,https://en.wiktionary.org/wiki/áfonya#Hungarian,aːfoɲɒ,blueberry,0,-,n,1708,IE,Romance,Romanian,no_info,no_info,+,certain,"('blueberry', 'pumpkin')",0.401898734,0.730242431
afrik,https://hu.wiktionary.org/wiki/afrik#Magyar,https://en.wiktionary.org/wiki/afrik#Hungarian,ɒfrik,Afri,0,-,a,1893,IE,Germanic,German,no_info,no_info,+,certain,(),0,-1
ág,https://hu.wiktionary.org/wiki/ág#Magyar,https://en.wiktionary.org/wiki/ág#Hungarian,aːɡ,"arm, branch, perch, shroud, snub, sprig",0,-,n,1300,U,no_info,no_info,no_info,no_info,-,uncertain,"('arm', 'arm')",0.093283582,1
aga,https://hu.wiktionary.org/wiki/aga#Magyar,https://en.wiktionary.org/wiki/aga#Hungarian,ɒɡɒ,agha,0,-,r,1544,Turkic,Oghuz,Ottoman-Turkic,no_info,no_info,+,certain,"('agha', 'ram')",0.191331924,0.534843326
ágál,https://hu.wiktionary.org/wiki/ágál#Magyar,https://en.wiktionary.org/wiki/ágál#Hungarian,aːɡaːl,advocating,0,-,a,1568,IE,Romance,Latin,no_info,general,+,certain,"('advocating', 'embrace')",0.180451128,0.677143991
agancs,https://hu.wiktionary.org/wiki/agancs#Magyar,https://en.wiktionary.org/wiki/agancs#Hungarian,ɒɡɒnt͡ʃ,"antler, horn",0,-,n,1845,no_info,no_info,no_info,no_info,neologism,-,certain,"('horn', 'horn')",0.468379447,1
agár,https://hu.wiktionary.org/wiki/agár#Magyar,https://en.wiktionary.org/wiki/agár#Hungarian,ɒɡaːr,greyhound,0,-,n,1395,IE,Slavic,no_info,Western,no_info,+,uncertain,"('greyhound', 'bicycle')",0.625,0.652008653
ágaskodik,https://hu.wiktionary.org/wiki/ágaskodik#Magyar,https://en.wiktionary.org/wiki/ágaskodik#Hungarian,aːɡɒʃkodik,"prance, rear",0,-,v,1566,no_info,no_info,no_info,no_info,derivative,-,certain,"('rear', 'wheel')",0.460843373,0.784212887
ág-bog,https://hu.wiktionary.org/wiki/ág-bog#Magyar,https://en.wiktionary.org/wiki/ág-bog#Hungarian,aːɡ-boɡ,branch_burl,0,-,n,1522,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
ágens,https://hu.wiktionary.org/wiki/ágens#Magyar,https://en.wiktionary.org/wiki/ágens#Hungarian,aːɡɛnʃ,agent,0,-,n,1616,IE,Romance,Latin,no_info,general,+,certain,"('agent', 'suspect')",0.388157895,0.611712337
agg,https://hu.wiktionary.org/wiki/agg#Magyar,https://en.wiktionary.org/wiki/agg#Hungarian,ɒɡː,"(literary) very old, aged",0,-,a,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('aged', 'age')",0.452054795,0.76954937
aggastyán,https://hu.wiktionary.org/wiki/aggastyán#Magyar,https://en.wiktionary.org/wiki/aggastyán#Hungarian,ɒɡːɒʃcaːn,antediluvian,0,-,n,1536,no_info,no_info,no_info,no_info,from proper noun,-,certain,"('antediluvian', 'adornment')",0.31227758,0.463727742
aggódik,https://hu.wiktionary.org/wiki/aggódik#Magyar,https://en.wiktionary.org/wiki/aggódik#Hungarian,ɒɡːoːdik,"anguish, be_uncomfortable, be_worried, distress_oneself, dread, fear, feel_uncomfortable, trouble, worry",0,-,v,1578,no_info,no_info,no_info,no_info,derivative,-,certain,"('fear', 'fear')",0.120879121,1
agilis,https://hu.wiktionary.org/wiki/agilis#Magyar,https://en.wiktionary.org/wiki/agilis#Hungarian,ɒɡiliʃ,"agile, full_of_action, go-ahead, kinetic",0,-,a,1796,IE,Romance,Latin,no_info,general,+,certain,"('agile', 'clever')",0.229440789,0.620706081
agitál,https://hu.wiktionary.org/wiki/agitál#Magyar,https://en.wiktionary.org/wiki/agitál#Hungarian,ɒɡitaːl,agitate,0,-,v,1589,IE,Romance,Latin,no_info,general,+,certain,"('agitate', 'perspire')",0.147959184,0.557740092
agresszió,https://hu.wiktionary.org/wiki/agresszió#Magyar,https://en.wiktionary.org/wiki/agresszió#Hungarian,ɒɡrɛsːioː,aggression,0,-,n,1657,IE,Romance,Latin,no_info,general,+,certain,"('aggression', 'condemn')",0.468992248,0.717658103
agresszor,https://hu.wiktionary.org/wiki/agresszor#Magyar,https://en.wiktionary.org/wiki/agresszor#Hungarian,ɒɡrɛsːor,aggressor,0,-,n,1711,no_info,no_info,no_info,no_info,internationalism,+,certain,"('aggressor', 'enemy')",0.445652174,0.616172075
ágrólszakadt,https://hu.wiktionary.org/wiki/ágrólszakadt#Magyar,https://en.wiktionary.org/wiki/ágrólszakadt#Hungarian,aːɡroːlsɒkɒdt,seedy,0,-,a,1793,no_info,no_info,no_info,no_info,no_info,-,certain,"('seedy', 'lagoon')",0.386904762,0.520035386
agronómus,https://hu.wiktionary.org/wiki/agronómus#Magyar,https://en.wiktionary.org/wiki/agronómus#Hungarian,ɒɡronoːmuʃ,"agriculturist, agronomist",0,-,n,1865,no_info,no_info,no_info,no_info,internationalism,+,certain,"('agronomist', 'sculptor')",0.21875,0.496154934
agy,https://hu.wiktionary.org/wiki/agy#Magyar,https://en.wiktionary.org/wiki/agy#Hungarian,ɒɟ,"brain, seat_of_learning, upper_story",0,-,n,1230,FU,no_info,no_info,no_info,no_info,-,uncertain,"('brain', 'brain')",0.132432432,1
ágy,https://hu.wiktionary.org/wiki/ágy#Magyar,https://en.wiktionary.org/wiki/ágy#Hungarian,aːɟ,"bed, berth, doss, kip, sack",0,-,n,1372,FU,no_info,no_info,no_info,no_info,-,certain,"('bed', 'bed')",0.386138614,0.99999994
agyabugyál,https://hu.wiktionary.org/wiki/agyabugyál#Magyar,https://en.wiktionary.org/wiki/agyabugyál#Hungarian,ɒɟɒbuɟaːl,agyabugyál,0,-,n,1669,no_info,no_info,no_info,no_info,no_info,-,certain,(),0,-1
agyafúrt,https://hu.wiktionary.org/wiki/agyafúrt#Magyar,https://en.wiktionary.org/wiki/agyafúrt#Hungarian,ɒɟɒfuːrt,"acute, astute, coony, cute, fly, foxy, leery, out_and_out, sharp, shrewd, smart, tricksy, tricky, vulpine",0,-,a,1538,no_info,no_info,no_info,no_info,no_info,-,certain,"('fly', 'fly')",0.131140716,1
agyag,https://hu.wiktionary.org/wiki/agyag#Magyar,https://en.wiktionary.org/wiki/agyag#Hungarian,ɒɟɒɡ,"clay, loam",0,-,n,1395,unknown,unknown,unknown,unknown,unknown,+,certain,"('clay', 'clay')",0.099118943,0.99999994
agyar,https://hu.wiktionary.org/wiki/agyar#Magyar,https://en.wiktionary.org/wiki/agyar#Hungarian,ɒɟɒr,"fang, tusk",0,-,n,1456,FU,no_info,no_info,no_info,no_info,-,certain,"('fang', 'chin')",0.060240964,0.696997762
ágyék,https://hu.wiktionary.org/wiki/ágyék#Magyar,https://en.wiktionary.org/wiki/ágyék#Hungarian,aːɟeːk,"groin, loin",0,-,n,1490,Ug,no_info,no_info,no_info,no_info,-,certain,"('groin', 'ankle')",0.112359551,0.930055737
ágynemű,https://hu.wiktionary.org/wiki/ágynemű#Magyar,https://en.wiktionary.org/wiki/ágynemű#Hungarian,aːɟnɛmyː,"bed_linen, bedclothes, bedding, linen, sheets",0,-,n,1748,no_info,no_info,no_info,no_info,no_info,-,certain,"('linen', 'linen')",0.655555556,1
agyon,https://hu.wiktionary.org/wiki/agyon#Magyar,https://en.wiktionary.org/wiki/agyon#Hungarian,ɒɟon,death,0,-,r,1551,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('death', 'murder')",0.140425532,0.782371402
ágyú,https://hu.wiktionary.org/wiki/ágyú#Magyar,https://en.wiktionary.org/wiki/ágyú#Hungarian,aːɟuː,"cannon, gun",0,-,n,1456,Turkic,no_info,no_info,no_info,no_info,+,uncertain,"('gun', 'gun')",0.590909091,1.000000119
ah,https://hu.wiktionary.org/wiki/ah#Magyar,https://en.wiktionary.org/wiki/ah#Hungarian,ɒh,ah,0,-,r,1519,no_info,no_info,no_info,no_info,no_info,-,certain,"('ah', 'bee')",0.139830508,0.549065351
aha,https://hu.wiktionary.org/wiki/aha#Magyar,https://en.wiktionary.org/wiki/aha#Hungarian,ɒhɒ,"yep, yup",0,-,v,1536,no_info,no_info,no_info,no_info,no_info,-,certain,"('yup', 'shit')",0.14953271,0.521256566
áhít,https://hu.wiktionary.org/wiki/áhít#Magyar,https://en.wiktionary.org/wiki/áhít#Hungarian,aːhiːt,wish,0,-,a,1416,no_info,no_info,no_info,no_info,no_info,-,certain,"('wish', 'hope')",0.244493392,0.864476502
ahol,https://hu.wiktionary.org/wiki/ahol#Magyar,https://en.wiktionary.org/wiki/ahol#Hungarian,ɒhol,"whereabout, whereabouts",0,-,r,1515,no_info,no_info,no_info,no_info,no_info,-,certain,"('whereabouts', 'suspect')",0.388157895,0.705491722
aj,https://hu.wiktionary.org/wiki/aj#Magyar,https://en.wiktionary.org/wiki/aj#Hungarian,ɒj,-,0,+,r,1585,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
aj,https://hu.wiktionary.org/wiki/aj#Magyar,https://en.wiktionary.org/wiki/aj#Hungarian,ɒj,oh,2,-,r,1750,no_info,no_info,no_info,no_info,no_info,-,certain,"('oh', 'shit')",0.14953271,0.719215274
aj,https://hu.wiktionary.org/wiki/aj#Magyar,https://en.wiktionary.org/wiki/aj#Hungarian,ɒj,opening,1,-,n,1224,U,no_info,no_info,no_info,no_info,-,certain,"('opening', 'round')",0.181985294,0.844451189
ajak,https://hu.wiktionary.org/wiki/ajak#Magyar,https://en.wiktionary.org/wiki/ajak#Hungarian,ɒjɒk,lip,0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('lip', 'lip')",0.082105263,1
ajándék,https://hu.wiktionary.org/wiki/ajándék#Magyar,https://en.wiktionary.org/wiki/ajándék#Hungarian,ɒjaːndeːk,"donation, gift, offering, present, presentation, souvenir, testimonial",0,-,n,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('present', 'same')",0.114942529,0.858571231
ajánl,https://hu.wiktionary.org/wiki/ajánl#Magyar,https://en.wiktionary.org/wiki/ajánl#Hungarian,ɒjaːnl,"advise, bid, bade, bidden, bid, bid, commend, counsel, dedicate, exhort, name, nominate, offer, proffer, propose, put_up, recommend, suggest",0,-,v,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('name', 'name')",0.085227273,0.99999994
ájer,https://hu.wiktionary.org/wiki/ájer#Magyar,https://en.wiktionary.org/wiki/ájer#Hungarian,aːjɛr,air,0,-,n,1565,IE,Romance,Latin,no_info,general,+,certain,"('air', 'air')",0.475728155,1
ajnároz,https://hu.wiktionary.org/wiki/ajnároz#Magyar,https://en.wiktionary.org/wiki/ajnároz#Hungarian,ɒjnaːroz,ajnároz,0,-,v,1825,Turkic,Oghuz,Pecheneg, Cuman,no_info,-,"+,?",(),0,-1
ajóka,https://hu.wiktionary.org/wiki/ajóka#Magyar,https://en.wiktionary.org/wiki/ajóka#Hungarian,ɒjoːkɒ,anchovy,0,-,n,1879,no_info,no_info,no_info,no_info,derivative,-,certain,"('anchovy', 'shrimp')",0.371212121,0.699711323
ajt,https://hu.wiktionary.org/wiki/ajt#Magyar,https://en.wiktionary.org/wiki/ajt#Hungarian,ɒjt,-,0,+,r,1200,no_info,no_info,no_info,no_info,no_info,-,certain,"('-', 'top')",0.255509899,0.752546787
ájtatos,https://hu.wiktionary.org/wiki/ájtatos#Magyar,https://en.wiktionary.org/wiki/ájtatos#Hungarian,aːjtɒtoʃ,"devout, godly, religious",0,-,a,1372,no_info,no_info,no_info,no_info,derivative,-,certain,"('religious', 'religion')",0.646666667,0.857880592
ajtó,https://hu.wiktionary.org/wiki/ajtó#Magyar,https://en.wiktionary.org/wiki/ajtó#Hungarian,ɒjtoː,door,0,-,n,1372,no_info,no_info,no_info,no_info,change of part of speech,-,certain,"('door', 'door')",0.226744186,1
ajtófél,https://hu.wiktionary.org/wiki/ajtófél#Magyar,https://en.wiktionary.org/wiki/ajtófél#Hungarian,ɒjtoːfeːl,door,0,-,n,1512,no_info,no_info,no_info,no_info,no_info,-,certain,"('door', 'door')",0.226744186,1
ájul,https://hu.wiktionary.org/wiki/ájul#Magyar,https://en.wiktionary.org/wiki/ájul#Hungarian,aːjul,collapse,0,-,a,1559,no_info,no_info,no_info,no_info,no_info,-,certain,"('collapse', 'blow')",0.037790698,0.690750182
ajz,https://hu.wiktionary.org/wiki/ajz#Magyar,https://en.wiktionary.org/wiki/ajz#Hungarian,ɒjz,"(transitive, archery) to draw (to pull back the bowstring and its arrow in preparation for shooting)",0,-,r,1552,no_info,no_info,no_info,no_info,derivative,-,certain,(),0,-1
akác,https://hu.wiktionary.org/wiki/akác#Magyar,https://en.wiktionary.org/wiki/akác#Hungarian,ɒkaːt͡s,"acacia, wattle",0,-,n,1783,IE,Germanic,German,Bavaria,no_info,+,certain,"('acacia', 'bark')",0.160965795,0.656354606
akad,https://hu.wiktionary.org/wiki/akad#Magyar,https://en.wiktionary.org/wiki/akad#Hungarian,ɒkɒd,"jam, occur, stick, stuck",0,-,v,1456,Ug,no_info,no_info,no_info,no_info,-,certain,"('stuck', 'back')",0.081920904,0.79502219
