L2_orth,L2_link,L2_latin,L2_ipa,L2_en,L2_pos,L2_in
𐌰𐌲𐌻𐌰𐌹𐍄𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌴𐌹#Gothic,aglaitēi,aɣlɛteɪ,"fornication, lustfulness, lewdness, lasciviousness",n,aɣlɛteɪ
𐌰𐌲𐌻𐌰𐌹𐍄𐌹,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌹#Gothic,aglaiti,aɣlɛtɪ,"lewdness, lasciviousness",n,aɣlɛtɪ
𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌰𐌹𐍄𐌹𐍅𐌰𐌿𐍂𐌳𐌴𐌹#Gothic,aglaitiwaurdēi,aɣlɛtɪwɔrdeɪ,shameful_or_obscene_speech,n,aɣlɛtɪwɔrdeɪ
𐌰𐌲𐌻𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌹𐌸𐌰#Gothic,agliþa,aɣlɪθa,tribulation,n,aɣlɪθa
𐌰𐌲𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌾𐌰𐌽#Gothic,agljan,aɣl̥jan,"hurt, injure, damage",v,aɣl̥j
𐌰𐌲𐌻𐌿𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌿𐌱𐌰#Gothic,agluba,aɣluβa,with_difficulty,r,aɣluβa
𐌰𐌲𐌻𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐌿𐍃#Gothic,aglus,aɣlus,difficult,a,aɣlus
𐌰𐌲𐌻𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐍃#Gothic,agls,aɣl̥s,"shameful, humiliating",a,aɣl̥s
𐌰𐌲𐌻𐍉,https://en.wiktionary.org/wiki/𐌰𐌲𐌻𐍉#Gothic,aglō,aɣlo,"trouble, tribulation, suffering, anguish",n,aɣlo
𐌰𐌲𐌾𐌰𐌽,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌲𐌾𐌰𐌽#Gothic,agjan,aɣjan,"frighten, worry",v,aɣj
𐌰𐌲𐌿𐍃𐍄𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌲𐌿𐍃𐍄𐌿𐍃#Gothic,agustus,aɣustus,"Augustus, , Roman_emperor",n,aɣustus
-𐌰𐌲𐍃,https://en.wiktionary.org/wiki/-𐌰𐌲𐍃#Gothic,-ags,aɣs,,r,aɣs
𐌰𐌵𐌹𐌶𐌹,https://en.wiktionary.org/wiki/𐌰𐌵𐌹𐌶𐌹#Gothic,aqizi,akʷɪzɪ,axe,n,akʷɪzɪ
𐌰𐌶𐌲𐍉,https://en.wiktionary.org/wiki/𐌰𐌶𐌲𐍉#Gothic,azgō,azɡo,ash,n,azɡo
𐌰𐌶𐌴𐍄𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌶𐌴𐍄𐌰𐌱𐌰#Gothic,azētaba,azetaβa,easily,r,azetaβa
𐌰𐌶𐌴𐍄𐌹,https://en.wiktionary.org/wiki/𐌰𐌶𐌴𐍄𐌹#Gothic,azēti,azetɪ,"ease, comfort",n,azetɪ
𐌰𐌶𐌴𐍄𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌶𐌴𐍄𐍃#Gothic,azēts,azets,,r,azets
𐌰𐌶𐍅𐌼𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌶𐍅𐌼𐌿𐍃#Gothic,azwmus,azwmus,,r,azwmus
𐌰𐌷𐌰,https://en.wiktionary.org/wiki/𐌰𐌷𐌰#Gothic,aha,aha,"mind, reason",n,aha
𐌰𐌷𐌰𐌺𐍃,https://en.wiktionary.org/wiki/𐌰𐌷𐌰𐌺𐍃#Gothic,ahaks,ahaks,"pigeon, dove",n,ahaks
𐌰𐌷𐌰𐌽𐌰,https://en.wiktionary.org/wiki/𐌰𐌷𐌰𐌽𐌰#Gothic,ahana,ahana,chaff,n,ahana
𐌰𐌷𐌼𐌰,https://en.wiktionary.org/wiki/𐌰𐌷𐌼𐌰#Gothic,ahma,ahma,spirit,n,ahma
𐌰𐌷𐌼𐌰𐍄𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌷𐌼𐌰𐍄𐌴𐌹𐌽𐍃#Gothic,ahmatēins,ahmateɪns,inspiration,n,ahmateɪns
𐌰𐌷𐌼𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌷𐌼𐌴𐌹𐌽𐍃#Gothic,ahmēins,ahmeɪns,spiritual,a,ahmeɪns
𐌰𐌷𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌷𐌾𐌰𐌽#Gothic,ahjan,ahjan,"think, assume",v,ahj
-𐌰𐌷𐍃,https://en.wiktionary.org/wiki/-𐌰𐌷𐍃#Gothic,-ahs,ahs,,r,ahs
𐌰𐌷𐍃,https://en.wiktionary.org/wiki/𐌰𐌷𐍃#Gothic,ahs,ahs,ear,n,ahs
𐌰𐌷𐍄𐌰𐌿,https://en.wiktionary.org/wiki/𐌰𐌷𐍄𐌰𐌿#Gothic,ahtau,ahtɔ,eight,r,ahtɔ
𐌰𐌷𐍄𐌰𐌿𐌳𐍉𐌲𐍃,https://en.wiktionary.org/wiki/𐌰𐌷𐍄𐌰𐌿𐌳𐍉𐌲𐍃#Gothic,ahtaudōgs,ahtɔðoɣs,"having_lasted_eight_days, eight_days_old",a,ahtɔðoɣs
𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳,https://en.wiktionary.org/wiki/𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳#Gothic,ahtautēhund,ahtɔtehund,eighty,n,ahtɔtehund
𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳 𐌾𐌰𐌷 𐍆𐌹𐌳𐍅𐍉𐍂,https://en.wiktionary.org/wiki/𐌰𐌷𐍄𐌰𐌿𐍄𐌴𐌷𐌿𐌽𐌳 𐌾𐌰𐌷 𐍆𐌹𐌳𐍅𐍉𐍂#Gothic,ahtautēhund jah fidwōr,ahtɔtehundjahɸɪðwor,eighty_four,r,ahtɔtehundjahɸɪðwor
𐌰𐌷𐍄𐌿𐌳𐌰,https://en.wiktionary.org/wiki/𐌰𐌷𐍄𐌿𐌳𐌰#Gothic,ahtuda,ahtuða,", eighth",a,ahtuða
𐌰𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌸𐌰#Gothic,aþa,aθa,Only_used_in_𐌼𐌰𐍂𐌰𐌽_𐌰𐌸𐌰,r,aθa
𐌰𐌸𐌰𐌻𐌰𐍆𐌿𐌽𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌸𐌰𐌻𐌰𐍆𐌿𐌽𐍃#Gothic,aþalafuns,aθalaɸuns,,r,aθalaɸuns
𐌰𐌸𐌸𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌸𐌸𐌰𐌽#Gothic,aþþan,aθθan,"but, but_then, but_nonetheless",r,aθθan
𐌰𐌸𐌽𐌰𐌼,https://en.wiktionary.org/wiki/𐌰𐌸𐌽𐌰𐌼#Gothic,aþnam,aθnam,years,n,aθnam
𐌰𐌹𐌱𐍂,https://en.wiktionary.org/wiki/𐌰𐌹𐌱𐍂#Gothic,aibr,ɛβr,gift,n,ɛβr
𐌰𐌹𐌲𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐌲𐌰𐌽#Gothic,aigan,ɛɣan,"possess, own",v,ɛɣ
𐌰𐌹𐌲𐌹𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐌲𐌹𐌽#Gothic,aigin,ɛɣɪn,property,n,ɛɣɪn
𐌰𐌹𐌶,https://en.wiktionary.org/wiki/𐌰𐌹𐌶#Gothic,aiz,ɛz,"brass, bronze_or_copper",n,ɛz
𐌰𐌹𐌶𐌰𐍃𐌼𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐌶𐌰𐍃𐌼𐌹𐌸𐌰#Gothic,aizasmiþa,ɛzasmɪθa,coppersmith,n,ɛzasmɪθa
𐌰𐌹𐌷𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐌷𐌰𐌽#Gothic,aihan,ɛhan,Alternative_form_of_𐌰𐌹𐌲𐌰𐌽,v,ɛh
𐌰𐌹𐌷𐍄𐍂𐍉𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐌷𐍄𐍂𐍉𐌽#Gothic,aihtrōn,ɛhtron,"pray, request, supplicate",v,ɛhtron
𐌰𐌹𐌷𐍄𐍂𐍉𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌷𐍄𐍂𐍉𐌽𐍃#Gothic,aihtrōns,ɛhtrons,"prayer, request, supplication",n,ɛhtrons
𐌰𐌹𐌷𐍄𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌷𐍄𐍃#Gothic,aihts,ɛhts,"possessions, property",n,ɛhts
𐌰𐌹𐌸𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐌸𐌴𐌹#Gothic,aiþēi,ɛθeɪ,mother,n,ɛθeɪ
𐌰𐌹𐌸𐌸𐌰𐌿,https://en.wiktionary.org/wiki/𐌰𐌹𐌸𐌸𐌰𐌿#Gothic,aiþþau,ɛθθɔ,or,r,ɛθθɔ
𐌰𐌹𐌸𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌸𐍃#Gothic,aiþs,ɛθs,oath,n,ɛθs
𐌰𐌹𐌺𐌺𐌻𐌴𐍃𐌾𐍉,https://en.wiktionary.org/wiki/𐌰𐌹𐌺𐌺𐌻𐌴𐍃𐌾𐍉#Gothic,aikklēsjō,ɛkklesjo,"congregation, church",n,ɛkklesjo
𐌰𐌹𐌻𐌴𐌹𐍃𐌰𐌱𐌰𐌹𐌸,https://en.wiktionary.org/wiki/𐌰𐌹𐌻𐌴𐌹𐍃𐌰𐌱𐌰𐌹𐌸#Gothic,ailēisabaiþ,ɛleɪsaβɛθ,,r,ɛleɪsaβɛθ
𐌰𐌹𐌻𐍉𐌴,https://en.wiktionary.org/wiki/𐌰𐌹𐌻𐍉𐌴#Gothic,ailōē,ɛloe,my_God!,r,ɛloe
𐌰𐌹𐌽𐌰𐌱𐌰𐌿𐍂,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌰𐌱𐌰𐌿𐍂#Gothic,ainabaur,ɛnaβɔr,one_who_is_born_alone,n,ɛnaβɔr
𐌰𐌹𐌽𐌰𐌷𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌰𐌷𐍃#Gothic,ainahs,ɛnahs,"only, sole",a,ɛnahs
𐌰𐌹𐌽𐌰𐌺𐌻𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌰𐌺𐌻𐍃#Gothic,ainakls,ɛnakl̥s,"desolate, forsaken)",a,ɛnakl̥s
𐌰𐌹𐌽𐌰𐌼,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌰𐌼#Gothic,ainam,ɛnam,alone,r,ɛnam
𐌰𐌹𐌽𐌰𐌼𐌿𐌽𐌳𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌰𐌼𐌿𐌽𐌳𐌹𐌸𐌰#Gothic,ainamundiþa,ɛnamundɪθa,unity,n,ɛnamundɪθa
𐌰𐌹𐌽𐌶𐌿,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌶𐌿#Gothic,ainzu,ɛnzu,"Compound_of_𐌰𐌹𐌽𐍃+_, clitic__𐌿.",r,ɛnzu
𐌰𐌹𐌽𐌻𐌹𐍆,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌻𐌹𐍆#Gothic,ainlif,ɛnlɪɸ,eleven,r,ɛnlɪɸ
𐌰𐌹𐌽𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐌽𐍃#Gothic,ainns,ɛnn̥s,Alternative_spelling_of_𐌰𐌹𐌽𐍃,r,ɛnn̥s
-𐌰𐌹𐌽𐍃,https://en.wiktionary.org/wiki/-𐌰𐌹𐌽𐍃#Gothic,-ains,ɛns,,r,ɛns
𐌰𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍃#Gothic,ains,ɛns,one,r,ɛns
𐌰𐌹𐌽𐍃𐌷𐌿𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍃𐌷𐌿𐌽#Gothic,ainshun,ɛnshun,"anyone, anything",r,ɛnshun
𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐌰𐌱𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐌰𐌱𐌰#Gothic,ainfalþaba,ɛnɸalθaβa,simply,r,ɛnɸalθaβa
𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐌴𐌹#Gothic,ainfalþēi,ɛnɸalθeɪ,"simplicity, singleness",n,ɛnɸalθeɪ
𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍆𐌰𐌻𐌸𐍃#Gothic,ainfalþs,ɛnɸalθs,simple,a,ɛnɸalθs
𐌰𐌹𐌽𐍈𐌰𐌸𐌰𐍂𐌿𐌷,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍈𐌰𐌸𐌰𐍂𐌿𐌷#Gothic,ainƕaþaruh,ɛnhʷaθaruh,each,r,ɛnhʷaθaruh
𐌰𐌹𐌽𐍈𐌰𐍂𐌾𐌹𐌶𐌿𐌷,https://en.wiktionary.org/wiki/𐌰𐌹𐌽𐍈𐌰𐍂𐌾𐌹𐌶𐌿𐌷#Gothic,ainƕarjizuh,ɛnhʷarjɪzuh,every_one,r,ɛnhʷarjɪzuh
𐌰𐌹𐍀𐌹𐍃𐌺𐌰𐌿𐍀𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐍀𐌹𐍃𐌺𐌰𐌿𐍀𐌴𐌹#Gothic,aipiskaupēi,ɛpɪskɔpeɪ,bishopric,n,ɛpɪskɔpeɪ
𐌰𐌹𐍀𐌹𐍃𐌺𐌰𐌿𐍀𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍀𐌹𐍃𐌺𐌰𐌿𐍀𐌿𐍃#Gothic,aipiskaupus,ɛpɪskɔpus,bishop,n,ɛpɪskɔpus
𐌰𐌹𐍀𐌹𐍃𐍄𐌰𐌿𐌻𐌴,https://en.wiktionary.org/wiki/𐌰𐌹𐍀𐌹𐍃𐍄𐌰𐌿𐌻𐌴#Gothic,aipistaulē,ɛpɪstɔle,", letter, correspondence",n,ɛpɪstɔle
𐌰𐌹𐍀𐌹𐍃𐍄𐌿𐌻𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍀𐌹𐍃𐍄𐌿𐌻𐌰#Gothic,aipistula,ɛpɪstula,Alternative_form_of_𐌰𐌹𐍀𐌹𐍃𐍄𐌰𐌿𐌻𐌴,n,ɛpɪstula
𐌰𐌹𐍂,https://en.wiktionary.org/wiki/𐌰𐌹𐍂#Gothic,air,ɛr,"early, soon",r,ɛr
𐌰𐌹𐍂𐌶𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌶𐌴𐌹#Gothic,airzēi,ɛrzeɪ,error,n,ɛrzeɪ
𐌰𐌹𐍂𐌶𐌴𐌹𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌶𐌴𐌹𐍃#Gothic,airzēis,ɛrzeɪs,"erroneous, deceived",a,ɛrzeɪs
𐌰𐌹𐍂𐌶𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌶𐌹𐌸𐌰#Gothic,airziþa,ɛrzɪθa,error,n,ɛrzɪθa
𐌰𐌹𐍂𐌶𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌶𐌾𐌰𐌽#Gothic,airzjan,ɛrzjan,"delude, mislead",v,ɛrzj
𐌰𐌹𐍂𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌸𐌰#Gothic,airþa,ɛrθa,earth,n,ɛrθa
𐌰𐌹𐍂𐌸𐌰𐌺𐌿𐌽𐌳𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌸𐌰𐌺𐌿𐌽𐌳𐍃#Gothic,airþakunds,ɛrθakunds,"born_of_, earth, earthly",a,ɛrθakunds
𐌰𐌹𐍂𐌸𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌸𐌴𐌹𐌽𐍃#Gothic,airþēins,ɛrθeɪns,earthen,a,ɛrθeɪns
𐌰𐌹𐍂𐌹𐌶𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌹𐌶𐌰#Gothic,airiza,ɛrɪza,"earlier, sooner",a,ɛrɪza
𐌰𐌹𐍂𐌹𐌽𐍉𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌹𐌽𐍉𐌽#Gothic,airinōn,ɛrɪnon,be_an_ambassador_or_representative,v,ɛrɪnon
𐌰𐌹𐍂𐌹𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌹𐍃#Gothic,airis,ɛrɪs,"earlier, sooner",r,ɛrɪs
𐌰𐌹𐍂𐌺𐌽𐌹𐌸𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌺𐌽𐌹𐌸𐌰#Gothic,airkniþa,ɛrknɪθa,"sincerity, purity",n,ɛrknɪθa
𐌰𐌹𐍂𐌺𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌺𐌽𐍃#Gothic,airkns,ɛrkn̥s,"holy, sincere_or_pure",a,ɛrkn̥s
𐌰𐌹𐍂𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍂𐌿𐍃#Gothic,airus,ɛrus,"messenger, envoy",n,ɛrus
𐌰𐌹𐍃𐍄𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐍃𐍄𐌰𐌽#Gothic,aistan,ɛstan,"have_regard_for, revere, reverence",v,ɛst
𐌰𐌹𐍅,https://en.wiktionary.org/wiki/𐌰𐌹𐍅#Gothic,aiw,ɛw,Accusative_singular_form_of_𐌰𐌹𐍅𐍃.,n,ɛw
𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌹#Gothic,aiwaggēli,ɛwaŋɡelɪ,Alternative_form_of_𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐍉,n,ɛwaŋɡelɪ
𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌹𐍃𐍄𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌹𐍃𐍄𐌰#Gothic,aiwaggēlista,ɛwaŋɡelɪsta,evangelist,n,ɛwaŋɡelɪsta
𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐌰𐌽#Gothic,aiwaggēljan,ɛwaŋɡeljan,"preach_, gospel, evangelize",v,ɛwaŋɡelj
𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐍉,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌰𐌲𐌲𐌴𐌻𐌾𐍉#Gothic,aiwaggēljō,ɛwaŋɡeljo,gospel,n,ɛwaŋɡeljo
𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃#Gothic,aiwarēiks,ɛwareɪks,,r,ɛwareɪks
𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌰𐍂𐌴𐌹𐌺𐍃#Gothic,aiwarēiks,ɛwareɪks,,r,ɛwareɪks
𐌰𐌹𐍅𐌴𐌹𐌽𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌴𐌹𐌽𐍃#Gothic,aiwēins,ɛweɪns,"eternal, everlasting",a,ɛweɪns
𐌰𐌹𐍅𐌹𐍃𐌺𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌹𐍃𐌺𐌹#Gothic,aiwiski,ɛwɪskɪ,shame,n,ɛwɪskɪ
𐌰𐌹𐍅𐌹𐍃𐌺𐍉𐌽,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌹𐍃𐌺𐍉𐌽#Gothic,aiwiskōn,ɛwɪskon,"behave_in_, shameful_manner, do_something_unseemly",v,ɛwɪskon
𐌰𐌹𐍅𐌻𐌰𐌿𐌲𐌹𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐌻𐌰𐌿𐌲𐌹𐌰#Gothic,aiwlaugia,ɛwlɔɣɪa,"benefaction, donation",n,ɛwlɔɣɪa
𐌰𐌹𐍅𐍃,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐍃#Gothic,aiws,ɛws,", lifetime, eternity",n,ɛws
𐌰𐌹𐍅𐍇𐌰𐍂𐌹𐍃𐍄𐌹𐌰,https://en.wiktionary.org/wiki/𐌰𐌹𐍅𐍇𐌰𐍂𐌹𐍃𐍄𐌹𐌰#Gothic,aiwxaristia,ɛwxarɪstɪa,"thanksgiving, , Eucharist",n,ɛwxarɪstɪa
𐌰𐌹𐍈𐌰𐍄𐌿𐌽𐌳𐌹,https://en.wiktionary.org/wiki/𐌰𐌹𐍈𐌰𐍄𐌿𐌽𐌳𐌹#Gothic,aiƕatundi,ɛhʷatundɪ,bramble,n,ɛhʷatundɪ
𐌰𐌹𐍈𐍃,https://en.wiktionary.org/wiki/Reconstruction:Gothic/𐌰𐌹𐍈𐍃#Gothic,aiƕs,ɛhʷs,,r,ɛhʷs
𐌰𐌺,https://en.wiktionary.org/wiki/𐌰𐌺#Gothic,ak,ak,"but, however",r,ak
𐌰𐌺𐌴,https://en.wiktionary.org/wiki/𐌰𐌺𐌴#Gothic,akē,ake,Alternative_spelling_of_𐌰𐌺𐌴𐌹,r,ake
𐌰𐌺𐌴𐌹,https://en.wiktionary.org/wiki/𐌰𐌺𐌴𐌹#Gothic,akēi,akeɪ,but,r,akeɪ
𐌰𐌺𐌴𐌹𐍄,https://en.wiktionary.org/wiki/𐌰𐌺𐌴𐌹𐍄#Gothic,akēit,akeɪt,vinegar,n,akeɪt
𐌰𐌺𐌴𐍄,https://en.wiktionary.org/wiki/𐌰𐌺𐌴𐍄#Gothic,akēt,aket,Alternative_spelling_of_𐌰𐌺𐌴𐌹𐍄,n,aket
𐌰𐌺𐍂𐌰𐌽,https://en.wiktionary.org/wiki/𐌰𐌺𐍂𐌰𐌽#Gothic,akran,akran,fruit,n,akran
𐌰𐌺𐍂𐌰𐌽𐌰𐌻𐌰𐌿𐍃,https://en.wiktionary.org/wiki/𐌰𐌺𐍂𐌰𐌽𐌰𐌻𐌰𐌿𐍃#Gothic,akranalaus,akranalɔs,"profitless, unfruitful",a,akranalɔs
𐌰𐌺𐍂𐍃,https://en.wiktionary.org/wiki/𐌰𐌺𐍂𐍃#Gothic,akrs,akr̥s,field,n,akr̥s
𐌰𐌻𐌰𐌱𐌰𐌻𐍃𐍄𐍂𐌰𐌿𐌽,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌱𐌰𐌻𐍃𐍄𐍂𐌰𐌿𐌽#Gothic,alabalstraun,alaβalstrɔn,"A_type_of_alabastron, that_is, , small_container, perhaps_, flask, phial_or_box, especially_one_containing_ointments",n,alaβalstrɔn
𐌰𐌻𐌰𐌱𐍂𐌿𐌽𐍃𐍄𐍃,https://en.wiktionary.org/wiki/𐌰𐌻𐌰𐌱𐍂𐌿𐌽𐍃𐍄𐍃#Gothic,alabrunsts,alaβrunsts,burnt_offering,n,alaβrunsts
