got_lemma,Wortart,Deutsche Bedeutung,Englische Bedeutung,got_links,got_occurences,got_certainty,got_reconstructedness,got_ipa,got_en,got_pos
afblindnan,V.,erblinden,"become blind, lose (V.) one’s sight",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸblɪndnan,"become_blind, lose_ones_sight",v
afdailjan,V.,"abteilen, einen Teil abgeben","portion out, give tithes, apportion from, parcel out from",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdaɪljan,"portion_out, give_tithes, apportion_from, parcel_out_from",v
afdaubnan,V.,"ertauben, verstockt werden, taub werden","grow insensitive, become numb, become hardened",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdauβnan,"grow_insensitive, become_numb, become_hardened",v
afdáuiþs,"V., Adj.","geschunden, geplagt, abgehetzt","troubled, annoyed, harried, harrassed, worn out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdauɪθs,"troubled, annoyed, harried, harrassed, worn_out",va
afdáujan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],certain,form,aɸdaujan,,v
afdauþjan,V.,töten,"put to death, make die, kill (V.), eliminate with death",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['5'],certain,,aɸdauθjan,"put_to_death, make_die, kill, eliminate_with_death",v
afdōbnan,V.,verstummen,"be mute, become mute, be silent, become silent, hold one’s peace",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdoβnan,"be_mute, become_mute, be_silent, become_silent, hold_ones_peace",v
afdōjan,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdojan,"harry, harass, wear_out",v
afdaujan,V.,"plagen, schinden, abhetzen","harry (V.), harass (V.), wear out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],certain,form,aɸdaujan,"harry, harass, wear_out",v
afdōmeins,F.,Verdammung,condemnation,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdomins,condemnation,n
afdōmjan,V.,"verurteilen, verfluchen","comdemn, pass judgement against, curse (V.), abjure",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['6'],certain,,aɸdomjan,"comdemn, pass_judgement_against, curse, abjure",v
afdrausjan,V.,hinabstürzen,"throw down off, throw down of",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,,aɸdrausjan,"throw_down_off, throw_down_of",v
afdrugk,N.,Trinken,drinking up,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],uncertain,word,aɸdruŋk,drinking_up,n
afdrugkja,M.,Trunkenbold,drunkard,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['2'],certain,,aɸdruŋkja,drunkard,n
afdumbnan,V.,verstummen,"become still, subside into silence, fall off into dumbness",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,['1'],certain,form,aɸdumbnan,"become_still, subside_into_silence, fall_off_into_dumbness",v
afēt,N.,"Wegesserei, Fressen",gluttonous eating,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=2,[],uncertain,word,aɸet,gluttonous_eating,n
afētja,M.,Fresser,"glutton, voracious eater",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,,aɸetja,"glutton, voracious_eater",n
afēts,Adj.,"essbar?, fresserisch","voracious in eating, gluttonish",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],uncertain,word,aɸets,"voracious_in_eating, gluttonish",a
affilhan,V.,verbergen,"hide from, conceal from",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,form,aɸɸɪlhan,"hide_from, conceal_from",v
afgaggan,V.,"weggehen von, weggehen, weichen (V.) (2)","go away, leave (V.), depart (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['5'],certain,form,aɸɡaŋɡan,"go_away, leave, depart",v
afgibansik,V.,"sich wegbegeben, sich hinwegbegeben, sich fortbegeben","give o.s. away, separate (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,,aɸɡɪβansɪk,"give_os_away, separate",v
afgrundiþa,F.,Abgrund,abyss,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,form,aɸɡrundɪθa,abyss,n
afgrundus,Adj.,abgründig,bottomless,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],uncertain,word,aɸɡrundus,bottomless,a
afgudei,F.,Gottlosigkeit,"ungodliness, irreligiosity, impiety",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,form,aɸɡuði,"ungodliness, irreligiosity, impiety",n
afguþs,Adj.,"abgöttisch, gottlos","godless, irreligious, impious",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['3'],certain,form,aɸɡuθs,"godless, irreligious, impious",a
afhabansik,V.,sich enthalten,"abstain, withhold o.s.",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,,aɸhaβansɪk,"abstain, withhold_os",v
afhaimeis,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,form,aɸhaɪmis,"absent_from_home, absent, away_from_home",a
afhaimis,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪmɪs,"absent_from_home, absent, away_from_home",a
afhaims,Adj.,"der Heimat fern, abwesend","absent from home, absent, away from home",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪms,"absent_from_home, absent, away_from_home",a
afhaimis,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪmɪs,,a
afhaims,Adj.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,[],certain,form,aɸhaɪms,,a
afhamōn,V.,"die Bekleidung ablegen, ausziehen, sich entkleiden","get undressed, shed as clothing, strip off as clothing, doff",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,,aɸhamon,"get_undressed, shed_as_clothing, strip_off_as_clothing, doff",v
afhlaþan,V.,beladen (V.),"burden (V.), load down, lade down",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,form,aɸhlaθan,"burden, load_down, lade_down",v
afhōlōn,V.,"übervorteilen, betrügen",extort from by false allegation,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,form,aɸholon,extort_from_by_false_allegation,v
afhrainjan,V.,"etwas Verunreinigendes tilgen, reinigen","cleanse away, wipe out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,,aɸhraɪnjan,"cleanse_away, wipe_out",v
afhrisjan,V.,abschütteln,shake off,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['2'],certain,form,aɸhrɪsjan,shake_off,v
afhugjan,V.,bezaubern,"lead astray the understanding of, bewitch",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['1'],certain,form,aɸhuɣjan,"lead_astray_the_understanding_of, bewitch",v
afƕapjan,V.,"ersticken, auslöschen","choke (V.), extinguish, asphyxiate, suffocate",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=3,['5'],certain,,aɸhwapjan,"choke, extinguish, asphyxiate, suffocate",v
afƕapnan,V.,"ersticken, erlöschen","choke (V.), be suffocated, become suffocated",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['6'],certain,form,aɸhwapnan,"choke, be_suffocated, become_suffocated",v
afitan,V.,"verschlingen, fressen","devour, eat voraciously",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,[],uncertain,word,aɸɪtan,"devour, eat_voraciously",v
aflageins,F.,"Ablegung, Erlass, Vergebung","forgiveness, laying aside, remission, absolution",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['1'],certain,form,aɸlaɣins,"forgiveness, laying_aside, remission, absolution",n
aflagjan,V.,etwas ablegen,"put off, lay off away, lay down, lay aside",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['5'],certain,,aɸlaɣjan,"put_off, lay_off_away, lay_down, lay_aside",v
afleiþan,V.,"weggehen, entweichen, verreisen, fortgehen","go away, depart (V.), leave (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['14'],certain,form,aɸliθan,"go_away, depart, leave",v
aflēt,N.,"Erlass, Vergebung","indulgence, letting off, forgiveness, pardon (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['3'],certain,form,aɸlet,"indulgence, letting_off, forgiveness, pardon",n
aflētan,V.,"entlassen (V.), fortschicken, aufgeben, eine Schuld erlassen (V.), vergeben (V.)>>>","let off, let go, leave (V.), relinquish, remit, absolve, release (V.), forgive",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['53'],certain,,aɸletan,"let_off, let_go, leave, relinquish, remit, absolve, release, forgive",v
aflifnan,V.,übrigbleiben,"be left, become left, be left over, remain (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['8'],certain,form,aɸlɪɸnan,"be_left, become_left, be_left_over, remain",v
aflinnan,V.,"weggehen, fortgehen","leave off, go away, cease from, let up",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['1'],certain,form,aɸlɪnnan,"leave_off, go_away, cease_from, let_up",v
afmaitan,V.,"abhauen, abschneiden","cut off, sever, amputate, chop off, behead",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['8'],certain,form,aɸmaɪtan,"cut_off, sever, amputate, chop_off, behead",v
afmarzeins,F.,Betrug,"deception, deceitfulness, delusive seduction",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['2'],certain,,aɸmarzins,"deception, deceitfulness, delusive_seduction",n
afmarzjan,V.,"Ärgernis nehmen (= Pass.), sich ärgern","make deviate by obstructing, snare astray, thwart by deflecting, take offence",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['2'],certain,form,aɸmarzjan,"make_deviate_by_obstructing, snare_astray, thwart_by_deflecting, take_offence",v
afmáuiþs,"V., Adj.",ermüdet,"weary (Adj.), debilitated, tired out, fatigued",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['21'],certain,form,aɸmauɪθs,"weary, debilitated, tired_out, fatigued",va
afmáujan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,[],certain,form,aɸmaujan,,v
afmōjan,V.,ermüden,"tire out, fatigue (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,[],certain,form,aɸmojan,"tire_out, fatigue",v
afmaujan,V.,ermüden,"tire out, fatigue (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,[],certain,form,aɸmaujan,"tire_out, fatigue",v
afniman,V.,"wegnehmen, abnehmen","take away, remove (V.), withdraw",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['15'],certain,,aɸnɪman,"take_away, remove, withdraw",v
afqiþan,V.,"verzichten auf, entsagen","renounce (V.), foreswear",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['1'],certain,form,aɸkwɪθan,"renounce, foreswear",v
afsateins,F.,"Absetzung, Entlassung, Verabschiedung, Scheidung","setting aside (N.), divorce (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['1'],certain,form,aɸsatins,"setting_aside, divorce",n
afsatjan,V.,"absetzen, entlassen (V.)","dismiss, remove (V.), put away, set aside, set off, divorce (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['3'],certain,,aɸsatjan,"dismiss, remove, put_away, set_aside, set_off, divorce",v
afskaidan,V.,"„abscheiden“, absondern, abtrennen, trennen","separate off, sever, sunder (V.), divide",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=4,['6'],certain,,aɸskaɪðan,"separate_off, sever, sunder, divide",v
afskiuban,V.,"verstoßen (V.), von sich wegstoßen, abschieben, von sich schieben, entfernen","reject (V.), repulse (V.), shove away, thrust away",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['2'],certain,form,aɸskɪuβan,"reject, repulse, shove_away, thrust_away",v
afslahan,V.,"abschlagen, abhauen, erschlagen (V.)","hew off, slay, strike dead, strike off, cut off, kill (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['54'],certain,form,aɸslahan,"hew_off, slay, strike_dead, strike_off, cut_off, kill",v
afslaupjan,V.,"abstreifen, ablegen","let slide off, make slip off, put off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸslaupjan,"let_slide_off, make_slip_off, put_off",v
afslauþjan,V.,"in Angst versetzen, in Sorge sein (V.), ängstigen","perturb, frighten, dumbfound (V.), scare (V.), silence off, make speechless",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['2'],certain,form,aɸslauθjan,"perturb, frighten, dumbfound, scare, silence_off, make_speechless",v
afslauþnan,V.,"erschrecken, sich entsetzen","be amazed, be dumbfounded, become dumbfounded, be silenced off, become silenced >>>",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['3'],certain,,aɸslauθnan,"be_amazed, be_dumbfounded, become_dumbfounded, be_silenced_off, become_silenced_",v
afsneiþan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,form,aɸsniθan,,v
afstandan,V.,"abstehen, ablassen, abfallen","dissociate o.s., go away, stay away, fall off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['7'],certain,form,aɸstandan,"dissociate_os, go_away, stay_away, fall_off",v
afstass,F.,"Abfall, Scheidung","dissociation, separation, divorce (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['2'],certain,,aɸstass,"dissociation, separation, divorce",n
afswaggwjan,V.,"schwankend machen?, ängstlich machen","make anxious, make sway away from, cause to waver",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸswaɡɡwjan,"make_anxious, make_sway_away_from, cause_to_waver",v
afswaírban,V.,"abwischen, auslöschen","wipe away, wipe out",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸswɛrban,"wipe_away, wipe_out",v
afta,Adv.,hinten,behind,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,,aɸta,behind,r
aftana,Adv.,von hinten,from behind,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,,aɸtana,from_behind,r
aftaraanastōdeins,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,form,aɸtaraanastoðins,,n
aftarō,Adv.,"von hinten, hinten","in back of, from behind",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['3'],certain,word,aɸtaro,"in_back_of, from_behind",r
aftaúrnan,V.,abreißen,"tear off, be torn off, become torn off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸtɔrnan,"tear_off, be_torn_off, become_torn_off",v
aftiuhan,V.,"wegziehen, abziehen, fortziehen","draw off away, pull away, lead away",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['2'],certain,,aɸtɪuhan,"draw_off_away, pull_away, lead_away",v
aftra,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['102101'],certain,,aɸtra,"again, back, backwards, once_more",r
afta,Adv.,"wieder, zurück, rückwärts, wiederum, abermals","again, back (Adv.), backwards, once more",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,,aɸta,"again, back, backwards, once_more",r
aftraanastōdeins,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸtraanastoðins,"regeneration, regenesis, revival",n
aftaraanastōdeins,F.,"Wiederanfang, Wiedererneuerung","regeneration, regenesis, revival",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],certain,form,aɸtaraanastoðins,"regeneration, regenesis, revival",n
aftragasatjan,V.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,[],uncertain,word,aɸtraɣasatjan,,v
aftuma,"Adj., Adj.","letzte, hintere","aftermost, hindmost, last of two parties",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=5,['1'],certain,form,aɸtuma,"aftermost, hindmost, last_of_two_parties",aa
aftumists,"Adj., Adj.",letzte,"endmost, final (Adj.), the very last",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['5'],certain,,aɸtumɪsts,"endmost, final, the_very_last",aa
afþaúrsiþs,"V., Adj.",,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],certain,,aɸθɔrsɪθs,,va
afþaúrsjan,V.,"dursten, verdursten, durstig sein (V.)","dessicate, afflict with thirst",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['2'],certain,form,aɸθɔrsjan,"dessicate, afflict_with_thirst",v
afþliuhan,V.,"wegfliehen, fliehen","flee off, run away in flight, escape (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['1'],certain,form,aɸθlɪuhan,"flee_off, run_away_in_flight, escape",v
afþwahan,V.,"sich abwaschen, waschen, sich waschen","lave off, wash off, wash o.s. off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['3'],certain,,aɸθwahan,"lave_off, wash_off, wash_os_off",v
afurdags,M.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],certain,form,aɸurdaɣs,,n
afwagjan,V.,"bewegen, abbringen","make fluctuate away from, make waver away from, remove (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['1'],certain,form,aɸwaɣjan,"make_fluctuate_away_from, make_waver_away_from, remove",v
afwaírpan,V.,"etwas wegwerfen, weichen (= Pass.), weggenommen werden (= Pass.), fortwerfen","cast aside, throw off",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['4'],certain,,aɸwɛrpan,"cast_aside, throw_off",v
afwalwjan,V.,wegwälzen,"remove by rolling, roll away",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['2'],certain,form,aɸwalwjan,"remove_by_rolling, roll_away",v
afwandjan,V.,"abwenden, vermeiden","turn aside, make turn away from",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['7'],certain,,aɸwandjan,"turn_aside, make_turn_away_from",v
agan,V.,sich fürchten,be afraid of,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣan,be_afraid_of,v
agands,"V., Adj.",furchtsam,fearful,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣands,fearful,va
agatja,F.,Elster,magpie,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣatja,magpie,n
agei,F.,"Furchtsamkeit, Ängstlichkeit",timidity,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɣi,timidity,n
agga,M.,Enge,narrowness,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aŋɡa,narrowness,n
Aggils,M.,Angel (M.),Angle,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aŋɡɪls,Angle,n
aggilus,M.,"Engel, Bote",angel,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['39'],certain,,aŋɡɪlus,angel,n
aggwei,F.,"Enge, Einschränkung","narrowness, restriction",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɡɡwi,"narrowness, restriction",n
aggweins,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,[],uncertain,word,aɡɡwins,,n
aggwiþa,F.,"„Enge“, Bedrängnis","affliction, trouble (N.), plight, anxiety, distress (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=6,['5'],certain,,aɡɡwɪθa,"affliction, trouble, plight, anxiety, distress",n
aggwjan,V.,"bedrängen, beengen, engen","constrain (V.), cramp completely",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],uncertain,word,aɡɡwjan,"constrain, cramp_completely",v
aggwus,Adj.,eng,narrow (Adj.),https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,['2'],certain,form,aɡɡwus,narrow,a
agi,F.,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],certain,word,aɣɪ,"blade, edge, point, sharpness, sword",n
agja,F.,"Schärfe, Ecke, Spitze, Schneide, Schwert","blade, edge (V.), point (N.), sharpness, sword",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],certain,word,aɣja,"blade, edge, point, sharpness, sword",n
agis,N.,"Furcht, Schrecken","awe (N.), fear (N.), fright, terror (N.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,['20'],certain,,aɣɪs,"awe, fear, fright, terror",n
agja,F.,,,https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],certain,word,aɣja,,n
agjan,V.,"ängstigen, sich fürchten","frighten, worry (V.)",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],uncertain,word,aɣjan,"frighten, worry",v
agkja,F.,"Bein, Röhre","leg, pipe (N.), tube",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],uncertain,word,aŋkja,"leg, pipe, tube",n
aglaitei,F.,"Unzucht, Unschicklichkeit, Unkeuschheit","licentiousness, debauchery",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,['54'],certain,,aɣlaɪti,"licentiousness, debauchery",n
aglaiteis,Adj.,"schändlich, unzüchtig","lewd, shameful",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],certain,word,aɣlaɪtis,"lewd, shameful",a
aglaits,Adj.,"schändlich, unzüchtig","lewd, shameful",https://koeblergerhard.de/wikiling/?query=&f=got&mod=0&page=7,[],certain,word,aɣlaɪts,"lewd, shameful",a
